public_intersection,year,all_eligible_crashes,cyclist_involved_crashes,pedestrian_involved_crashes
BROADWAY & FAYETTE ST,2024,1,0,1
BROADWAY & FAYETTE ST,2025,0,0,0
BROADWAY & GALILEI WAY,2023,0,0,0
BROADWAY & GALILEI WAY,2024,0,0,0
BROADWAY & GALILEI WAY,2025,1,1,0
BROADWAY & INMAN ST,2023,0,0,0
BROADWAY & INMAN ST,2024,1,1,0
BROADWAY & INMAN ST,2025,0,0,0
BROADWAY & MOORE,2023,1,1,0
BROADWAY & MOORE,2024,0,0,0
BROADWAY & MOORE,2025,0,0,0
BROADWAY & PORTLAND,2023,1,0,1
BROADWAY & PORTLAND,2024,0,0,0
BROADWAY & PORTLAND,2025,0,0,0
BROADWAY & PRESCOTT,2023,0,0,0
BROADWAY & PRESCOTT,2024,0,0,0
BROADWAY & PRESCOTT,2025,1,0,1
BROADWAY & PRESCOTT ST,2023,0,0,0
BROADWAY & PRESCOTT ST,2024,0,0,0
BROADWAY & PRESCOTT ST,2025,1,0,1
BROADWAY & PROSPECT,2023,0,0,0
BROADWAY & PROSPECT,2024,0,0,0
BROADWAY & PROSPECT,2025,1,1,0
BROADWAY ST & MAPLE AVE,2023,1,1,0
BROADWAY ST & MAPLE AVE,2024,0,0,0
BROADWAY ST & MAPLE AVE,2025,0,0,0
CAMBRIDGE & COLUMBIA ST,2023,0,0,0
CAMBRIDGE & COLUMBIA ST,2024,0,0,0
CAMBRIDGE & COLUMBIA ST,2025,1,1,0
CAMBRIDGE & IRVING,2023,1,1,0
CAMBRIDGE & IRVING,2024,0,0,0
CAMBRIDGE & IRVING,2025,0,0,0
CAMBRIDGE ST & ELLSWORTH AVE,2023,1,1,0
CAMBRIDGE ST & ELLSWORTH AVE,2024,0,0,0
CAMBRIDGE ST & ELLSWORTH AVE,2025,0,0,0
CAMBRIDGE ST & ELM ST,2023,0,0,0
CAMBRIDGE ST & ELM ST,2024,0,0,0
CAMBRIDGE ST & ELM ST,2025,1,1,0
CAMBRIDGE ST & FAYETTE ST,2023,1,0,1
CAMBRIDGE ST & FAYETTE ST,2024,0,0,0
CAMBRIDGE ST & FAYETTE ST,2025,0,0,0
CAMBRIDGE ST & FIRST ST,2023,0,0,0
CAMBRIDGE ST & FIRST ST,2024,1,1,0
CAMBRIDGE ST & FIRST ST,2025,0,0,0
CAMBRIDGE ST & IRVING ST,2023,0,0,0
CAMBRIDGE ST & IRVING ST,2024,0,0,0
CAMBRIDGE ST & IRVING ST,2025,1,1,0
CAMBRIDGE ST & LAMBERT ST,2023,0,0,0
CAMBRIDGE ST & LAMBERT ST,2024,0,0,0
CAMBRIDGE ST & LAMBERT ST,2025,1,0,1
CAMBRIDGE ST & MAPLE AVE,2023,0,0,0
CAMBRIDGE ST & MAPLE AVE,2024,0,0,0
CAMBRIDGE ST & MAPLE AVE,2025,1,1,0
